"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Mean equivalised net income","Foreign country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Mean equivalised net income","Reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Foreign country","Total","18 years or over","",""
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","",""
"2003","European Union - 28 countries","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over","",""
